Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2007-02-12,1.9115,1.9115,1.9115,,,1.9115,0.0,0.0
2007-02-13,1.8676,1.8676,1.8676,,,1.8676,0.0,0.0
2007-02-14,1.8077,1.8077,1.8077,,,1.8077,0.0,0.0
2007-02-15,1.7964,1.7964,1.7964,,,1.7964,0.0,0.0
2007-02-16,1.8183,1.8183,1.8183,,,1.8183,0.0,0.0
2007-02-19,1.8183,1.8183,1.8183,,,1.8183,0.0,0.0
2007-02-20,1.7961,1.7961,1.7961,,,1.7961,0.0,0.0
2007-02-21,1.8297,1.8297,1.8297,,,1.8297,0.0,0.0
2007-02-22,1.8683,1.8683,1.8683,,,1.8683,0.0,0.0
2007-02-23,1.8986,1.8986,1.8986,,,1.8986,0.0,0.0
2007-02-26,1.9012,1.9012,1.9012,,,1.9012,0.0,0.0
2007-02-27,1.8976,1.8976,1.8976,,,1.8976,0.0,0.0
2007-02-28,1.9178,1.9178,1.9178,,,1.9178,0.0,0.0
2007-03-01,1.9096,1.9096,1.9096,,,1.9096,0.0,0.0
2007-03-02,1.8798,1.8798,1.8798,,,1.8798,0.0,0.0
2007-03-05,1.8472,1.8472,1.8472,,,1.8472,0.0,0.0
2007-03-06,1.8743,1.8743,1.8743,,,1.8743,0.0,0.0
2007-03-07,1.9045,1.9045,1.9045,,,1.9045,0.0,0.0
2007-03-08,1.9038,1.9038,1.9038,,,1.9038,0.0,0.0
2007-03-09,1.8746,1.8746,1.8746,,,1.8746,0.0,0.0
2007-03-12,1.8555,1.8555,1.8555,,,1.8555,0.0,0.0
2007-03-13,1.8593,1.8593,1.8593,,,1.8593,0.0,0.0
2007-03-14,1.8578,1.8578,1.8578,,,1.8578,0.0,0.0
2007-03-15,1.8441,1.8441,1.8441,,,1.8441,0.0,0.0
2007-03-16,1.8586,1.8586,1.8586,,,1.8586,0.0,0.0
2007-03-19,1.8636,1.8636,1.8636,,,1.8636,0.0,0.0
2007-03-20,1.8507,1.8507,1.8507,,,1.8507,0.0,0.0
2007-03-21,1.8548,1.8548,1.8548,,,1.8548,0.0,0.0
2007-03-22,1.899,1.899,1.899,,,1.899,0.0,0.0
2007-03-23,1.9174,1.9174,1.9174,,,1.9174,0.0,0.0
2007-03-26,1.9532,1.9532,1.9532,,,1.9532,0.0,0.0
2007-03-27,1.9534,1.9534,1.9534,,,1.9534,0.0,0.0
