Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,80.03,0.0,0.0
2014-11-21,,,,,0.87,80.9,0.0,0.0
2014-11-24,,,,,0.29,80.61,0.0,0.0
2014-11-25,,,,,0.41,80.2,0.0,0.0
2014-11-26,,,,,0.48,80.68,0.0,0.0
2014-11-28,,,,,3.24,77.44,0.0,0.0
2014-12-01,,,,,1.78,79.22,0.0,0.0
2014-12-02,,,,,1.23,77.99,0.0,0.0
2014-12-03,,,,,0.09,77.9,0.0,0.0
2014-12-04,,,,,1.77,76.13,0.0,0.0
2014-12-05,,,,,1.49,74.64,0.0,0.0
2014-12-08,,,,,2.17,72.47,0.0,0.0
2014-12-09,,,,,0.18,72.65,0.0,0.0
2014-12-10,,,,,1.44,71.21,0.0,0.0
2014-12-11,,,,,0.15,71.06,0.0,0.0
2014-12-12,,,,,1.98,69.08,0.0,0.0
2014-12-15,,,,,1.45,67.63,0.0,0.0
2014-12-16,,,,,1.11,66.52,0.0,0.0
2014-12-17,,,,,0.47,66.99,0.0,0.0
2014-12-18,,,,,0.54,67.53,0.0,0.0
2014-12-19,,,,,2.85,70.38,0.0,0.0
2014-12-22,,,,,0.17,70.21,0.0,0.0
2014-12-23,,,,,1.26,71.47,0.0,0.0
2014-12-24,,,,,0.21,71.68,0.0,0.0
2014-12-26,,,,,0.37,71.31,0.0,0.0
2014-12-29,,,,,0.83,70.48,0.0,0.0
2014-12-30,,,,,0.09,70.39,0.0,0.0
2014-12-31,,,,,0.09,70.3,0.0,0.0
2015-01-02,,,,,0.5,69.8,0.0,0.0
2015-01-05,,,,,1.33,68.47,0.0,0.0
2015-01-06,,,,,1.76,66.71,0.0,0.0
2015-01-07,,,,,0.57,66.14,0.0,0.0
2015-01-08,,,,,0.02,66.16,0.0,0.0
2015-01-09,,,,,1.22,67.38,0.0,0.0
2015-01-12,,,,,0.7,66.68,0.0,0.0
2015-01-13,,,,,0.7,67.38,0.0,0.0
2015-01-14,,,,,0.49,67.87,0.0,0.0
2015-01-15,,,,,2.21,65.66,0.0,0.0
2015-01-16,,,,,1.21,66.87,0.0,0.0
2015-01-20,,,,,1.44,65.43,0.0,0.0
2015-01-21,,,,,0.45,65.88,0.0,0.0
2015-01-22,,,,,0.6,65.28,0.0,0.0
2015-01-23,,,,,0.43,65.71,0.0,0.0
2015-01-26,,,,,0.25,65.46,0.0,0.0
2015-01-27,,,,,1.05,66.51,0.0,0.0
2015-01-28,,,,,0.64,65.87,0.0,0.0
2015-01-29,,,,,1.06,66.93,0.0,0.0
2015-01-30,,,,,2.25,69.18,0.0,0.0
2015-02-02,,,,,0.54,69.72,0.0,0.0
2015-02-03,,,,,1.35,71.07,0.0,0.0
2015-02-04,,,,,1.69,69.38,0.0,0.0
2015-02-05,,,,,0.69,70.07,0.0,0.0
2015-02-06,,,,,0.73,69.34,0.0,0.0
2015-02-09,,,,,0.42,69.76,0.0,0.0
2015-02-10,,,,,0.63,69.13,0.0,0.0
2015-02-11,,,,,0.25,69.38,0.0,0.0
2015-02-12,,,,,1.12,70.5,0.0,0.0
2015-02-13,,,,,0.94,69.56,0.0,0.0
2015-02-17,,,,,0.36,69.2,0.0,0.0
2015-02-18,,,,,0.3,68.9,0.0,0.0
2015-02-19,,,,,0.61,68.29,0.0,0.0
2015-02-20,,,,,1.07,69.36,0.0,0.0
2015-02-23,,,,,0.17,69.19,0.0,0.0
2015-02-24,,,,,0.52,69.71,0.0,0.0
2015-02-25,,,,,0.62,70.33,0.0,0.0
2015-02-26,,,,,0.33,70.0,0.0,0.0
2015-02-27,,,,,0.04,69.96,0.0,0.0
2015-03-02,,,,,0.41,69.55,0.0,0.0
2015-03-03,,,,,0.53,70.08,0.0,0.0
2015-03-04,,,,,1.22,68.86,0.0,0.0
2015-03-05,,,,,0.5,68.36,0.0,0.0
2015-03-06,,,,,0.72,67.64,0.0,0.0
2015-03-09,,,,,0.52,67.12,0.0,0.0
2015-03-10,,,,,0.52,66.6,0.0,0.0
2015-03-11,,,,,0.2,66.8,0.0,0.0
2015-03-12,,,,,0.52,66.28,0.0,0.0
2015-03-13,,,,,0.5,65.78,0.0,0.0
2015-03-16,,,,,0.43,66.21,0.0,0.0
2015-03-17,,,,,0.69,65.52,0.0,0.0
2015-03-18,,,,,1.38,66.9,0.0,0.0
2015-03-19,,,,,0.94,65.96,0.0,0.0
2015-03-20,,,,,0.53,66.49,0.0,0.0
2015-03-23,,,,,0.19,66.68,0.0,0.0
2015-03-24,,,,,0.67,66.01,0.0,0.0
2015-03-25,,,,,0.01,66.0,0.0,0.0
