Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2003-05-12,4.79,4.79,4.772,,,4.772,121.0,2134.0
2003-05-13,4.697,4.697,4.697,,,4.697,1.0,2105.0
2003-05-14,4.69,4.69,4.69,,,4.69,0.0,2105.0
2003-05-15,4.612,4.612,4.612,,,4.612,0.0,2091.0
2003-05-16,4.58,4.58,4.57,,,4.57,31.0,2103.0
2003-05-19,4.536,4.536,4.536,,,4.536,210.0,1926.0
2003-05-20,4.524,4.524,4.524,,,4.524,250.0,2051.0
2003-05-21,4.524,4.524,4.524,,,4.524,10.0,2041.0
2003-05-22,4.52,4.52,4.52,,,4.52,0.0,2041.0
2003-05-23,4.543,4.543,4.543,,,4.543,0.0,2041.0
2003-05-27,4.566,4.566,4.566,,,4.566,0.0,2041.0
2003-05-28,4.567,4.567,4.567,,,4.567,0.0,2041.0
2003-05-29,4.63,4.63,4.63,,,4.63,4.0,2041.0
2003-05-30,4.707,4.707,4.707,,,4.707,0.0,2041.0
2003-06-02,4.707,4.707,4.707,,,4.707,1.0,2042.0
2003-06-03,4.726,4.726,4.726,,,4.726,25.0,2042.0
2003-06-04,4.733,4.733,4.733,,,4.733,0.0,2042.0
2003-06-05,4.759,4.759,4.759,,,4.759,20.0,2041.0
2003-06-06,4.736,4.736,4.736,,,4.736,20.0,2061.0
2003-06-09,4.725,4.725,4.716,,,4.716,3.0,2061.0
2003-06-10,4.717,4.717,4.717,,,4.717,4.0,2065.0
2003-06-11,4.723,4.723,4.723,,,4.723,9.0,2070.0
2003-06-12,4.753,4.753,4.753,,,4.753,0.0,2070.0
2003-06-13,4.75,4.758,4.75,,,4.758,776.0,2483.0
2003-06-16,4.821,4.821,4.821,,,4.821,0.0,2483.0
2003-06-17,4.8,4.8,4.8,,,4.8,25.0,2500.0
2003-06-18,4.724,4.724,4.724,,,4.724,44.0,2530.0
2003-06-19,4.752,4.752,4.752,,,4.752,30.0,2565.0
2003-06-20,4.728,4.728,4.728,,,4.728,34.0,2594.0
2003-06-23,4.77,4.77,4.77,,,4.77,80.0,2591.0
2003-06-24,4.695,4.695,4.695,,,4.695,7.0,2592.0
2003-06-25,4.696,4.696,4.696,,,4.696,1.0,2592.0
2003-06-26,4.636,4.636,4.636,,,4.636,11.0,2596.0
2003-06-27,4.612,4.612,4.612,,,4.612,8.0,2594.0
2003-06-30,4.633,4.633,4.633,,,4.633,2.0,2595.0
2003-07-01,4.56,4.56,4.56,,,4.56,0.0,2595.0
2003-07-02,4.56,4.56,4.472,,,4.472,583.0,3175.0
