Date,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest
2014-11-20,,,,,0.0,81.41,0.0,0.0
2014-11-21,,,,,0.87,82.28,0.0,0.0
2014-11-24,,,,,0.29,81.99,0.0,0.0
2014-11-25,,,,,0.41,81.58,0.0,0.0
2014-11-26,,,,,0.48,82.06,0.0,0.0
2014-11-28,,,,,2.71,79.35,0.0,0.0
2014-12-01,,,,,1.78,81.13,0.0,0.0
2014-12-02,,,,,1.23,79.9,0.0,0.0
2014-12-03,,,,,0.14,79.76,0.0,0.0
2014-12-04,,,,,2.48,77.28,0.0,0.0
2014-12-05,,,,,1.86,75.42,0.0,0.0
2014-12-08,,,,,2.2,73.22,0.0,0.0
2014-12-09,,,,,0.02,73.2,0.0,0.0
2014-12-10,,,,,1.44,71.76,0.0,0.0
2014-12-11,,72.03,,,0.15,71.61,0.0,0.0
2014-12-12,,,,,1.94,69.67,0.0,0.0
2014-12-15,,72.03,,,1.56,68.11,0.0,0.0
2014-12-16,,,,,1.11,67.0,0.0,0.0
2014-12-17,,,,,0.09,66.91,0.0,0.0
2014-12-18,,,,,1.2,68.11,0.0,0.0
2014-12-19,,,,,2.88,70.99,0.0,0.0
2014-12-22,,,,,0.17,70.82,0.0,0.0
2014-12-23,,,,,1.26,72.08,0.0,0.0
2014-12-24,,,,,0.21,72.29,0.0,0.0
2014-12-26,,,,,0.37,71.92,0.0,0.0
2014-12-29,,,,,0.36,71.56,0.0,0.0
2014-12-30,,,,,0.15,71.71,0.0,0.0
2014-12-31,,,,,0.09,71.62,0.0,0.0
2015-01-02,,,,,0.5,71.12,0.0,0.0
2015-01-05,,,,,1.33,69.79,0.0,0.0
2015-01-06,,,,,1.76,68.03,0.0,0.0
2015-01-07,,,,,0.65,67.38,0.0,0.0
2015-01-08,,,,,0.02,67.4,0.0,0.0
2015-01-09,,,,,1.33,68.73,0.0,0.0
2015-01-12,,,,,0.7,68.03,0.0,0.0
2015-01-13,,,,,0.79,68.82,0.0,0.0
2015-01-14,,,,,0.49,69.31,0.0,0.0
2015-01-15,,,,,2.36,66.95,0.0,0.0
2015-01-16,,,,,1.21,68.16,0.0,0.0
2015-01-20,,,,,1.44,66.72,0.0,0.0
2015-01-21,,,,,0.45,67.17,0.0,0.0
2015-01-22,,,,,0.6,66.57,0.0,0.0
2015-01-23,,,,,0.43,67.0,0.0,0.0
2015-01-26,,,,,0.25,66.75,0.0,0.0
2015-01-27,,,,,1.05,67.8,0.0,0.0
2015-01-28,,,,,0.64,67.16,0.0,0.0
2015-01-29,,,,,1.06,68.22,0.0,0.0
2015-01-30,,,,,2.25,70.47,0.0,0.0
2015-02-02,,,,,0.54,71.01,0.0,0.0
2015-02-03,,,,,1.34,72.35,0.0,0.0
2015-02-04,,,,,1.63,70.72,0.0,0.0
2015-02-05,,,,,0.92,71.64,0.0,0.0
2015-02-06,,,,,0.54,71.1,0.0,0.0
2015-02-09,,,,,0.42,71.52,0.0,0.0
2015-02-10,,,,,0.63,70.89,0.0,0.0
2015-02-11,,,,,0.27,71.16,0.0,0.0
2015-02-12,,,,,1.12,72.28,0.0,0.0
2015-02-13,,,,,0.94,71.34,0.0,0.0
2015-02-17,,,,,0.36,70.98,0.0,0.0
2015-02-18,,,,,0.22,70.76,0.0,0.0
2015-02-19,,,,,0.51,70.25,0.0,0.0
2015-02-20,,70.55,,,1.29,71.54,0.0,0.0
2015-02-23,,71.56,,,0.17,71.37,0.0,0.0
2015-02-24,,71.81,,,0.52,71.89,0.0,0.0
2015-02-25,,,,,0.62,72.51,0.0,0.0
2015-02-26,,,,,0.31,72.2,0.0,0.0
2015-02-27,,72.69,,,0.04,72.16,0.0,0.0
2015-03-02,,,,,0.41,71.75,0.0,0.0
2015-03-03,,,,,0.53,72.28,0.0,0.0
2015-03-04,,,,,1.22,71.06,0.0,0.0
